VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,ProfitMargin,SalesToPurchaseRatio,average_onhand,StockTurnover
9552,M S WALKER INC             ,12220,Angeline Pnt Nr,5.48,12.99,750,23446.0,128484.08,23606.0,306641.94,2640.45,178157.86,58.1,2.39,2363.0,9.99
8004,SAZERAC CO INC             ,3612,Taaka Vodka,6.81,9.99,1750,30304.0,206370.24,30650.0,306193.5,56313.44,99823.26,32.6,1.48,2696.0,11.37
7245,PROXIMO SPIRITS INC.       ,415,Jose Cuervo Especial,13.04,20.99,1000,14539.0,189588.56,14561.0,305635.39,15289.05,116046.83,37.97,1.61,1868.0,7.79
8004,SAZERAC CO INC             ,1398,Blantons Sgl Barrel Bourbon,40.59,56.99,750,5415.0,219794.85,5339.0,304269.61,4205.64,84474.76,27.76,1.38,1793.0,2.98
3960,DIAGEO NORTH AMERICA INC   ,4429,Capt Morgan Silver Spicd Rum,17.31,22.99,1750,13569.0,234879.39,13116.0,301536.84,24103.19,66657.45,22.11,1.28,1987.5,6.6
7245,PROXIMO SPIRITS INC.       ,8472,1800 Silver Tequila,14.99,20.99,750,14375.0,215481.25,14364.0,301500.36,11313.6,86019.11,28.53,1.4,1752.5,8.2
3960,DIAGEO NORTH AMERICA INC   ,3397,Ciroc Red Berry Vodka,18.24,24.99,750,12012.0,219098.88,12058.0,301329.42,9498.55,82230.54,27.29,1.38,2868.0,4.2
4425,MARTIGNETTI COMPANIES,13665,Josh Cellars Chard,8.96,12.99,750,23640.0,211814.4,23175.0,301043.25,2592.83,89228.85,29.64,1.42,4367.5,5.31
1128,BROWN-FORMAN CORP          ,2062,Woodford Reserve Bourbon,44.11,59.99,1750,4886.0,215521.46,5017.0,300969.83,9222.25,85448.37,28.39,1.4,2126.5,2.36
1128,BROWN-FORMAN CORP          ,1237,Jack Daniels Single Barrel,33.83,44.99,750,7418.0,250950.94,6658.0,299543.42,5246.55,48592.48,16.22,1.19,2879.0,2.31
1128,BROWN-FORMAN CORP          ,8288,Korbel Brut,7.94,11.99,750,25153.0,199714.82,24819.0,297579.81,2777.41,97864.99,32.89,1.49,3057.0,8.12
3960,DIAGEO NORTH AMERICA INC   ,567,Ketel One Vodka,20.71,28.99,1000,10321.0,213747.91,10206.0,295871.94,10716.3,82124.03,27.76,1.38,1520.5,6.71
1392,CONSTELLATION BRANDS INC   ,22143,Simi Cab Svgn,10.52,18.99,750,15105.0,158904.6,15511.0,294553.89,1734.17,135649.29,46.05,1.85,3205.0,4.84
3664,WILLIAM GRANT & SONS INC   ,2517,Balvenie 14 Yr Caribean Cask,46.42,68.99,750,4316.0,200348.72,4263.0,294104.37,3360.3,93755.65,31.88,1.47,2274.5,1.87
2000,SOUTHERN WINE & SPIRITS NE ,10058,F Coppola Dmd Ivry Cab Svgn,9.26,13.99,750,21097.0,195358.22,21018.0,294041.82,2348.27,98683.6,33.56,1.51,2330.5,9.02
8664,"STOLI GROUP,(USA) LLC      ",3680,Stolichnaya Ohranj,18.93,24.99,1750,11728.0,222011.04,11749.0,293607.51,21591.1,71596.47,24.39,1.32,2433.5,4.83
8112,MOET HENNESSY USA INC      ,8537,Dom Chandon Brut Cuvee,9.39,13.99,750,21737.0,204110.43,20903.0,292432.97,2340.12,88322.54,30.2,1.43,3559.0,5.87
12546,JIM BEAM BRANDS COMPANY    ,1396,Old Crow,10.44,15.99,1750,18373.0,191814.12,18275.0,292217.25,33580.2,100403.13,34.36,1.52,1818.0,10.05
8004,SAZERAC CO INC             ,5891,Ryans Irish Cream,11.84,15.99,1750,17651.0,208987.84,18252.0,291849.48,33539.21,82861.64,28.39,1.4,1894.5,9.63
8352,LUXCO INC                  ,8626,Ezra Brooks,11.67,15.99,1750,18389.0,214599.63,18180.0,290698.2,33405.66,76098.57,26.18,1.35,1819.5,9.99
3960,DIAGEO NORTH AMERICA INC   ,3513,Ciroc Snap Frost Vodka,17.98,24.99,750,11424.0,205403.52,11526.0,288034.74,9080.47,82631.22,28.69,1.4,3085.0,3.74
8664,"STOLI GROUP,(USA) LLC      ",3427,Stolichnaya Blueberi,17.85,24.99,1750,11462.0,204596.7,11516.0,287784.84,21163.47,83188.14,28.91,1.41,2449.0,4.7
8112,MOET HENNESSY USA INC      ,115,Belvedere Vodka,21.37,27.99,1000,11119.0,237613.03,10255.0,287037.45,10767.75,49424.42,17.22,1.21,1396.0,7.35
3252,E & J GALLO WINERY         ,38899,L Martini Cab Svgn Sonoma,7.28,12.99,750,23903.0,174013.84,22045.0,286364.55,2465.79,112350.71,39.23,1.65,3907.0,5.64
2000,SOUTHERN WINE & SPIRITS NE ,26948,Ferrari-Carano Chard,11.53,18.99,750,17364.0,200206.92,15055.0,285894.45,1684.8,85687.53,29.97,1.43,3201.5,4.7
9165,ULTRA BEVERAGE COMPANY LLP ,37822,Frescobaldi Chianti RSV Nip,11.72,26.99,750,12078.0,141554.16,10570.0,285284.3,1179.59,143730.14,50.38,2.02,1775.0,5.95
12546,JIM BEAM BRANDS COMPANY    ,4269,Calico Jack Spiced Rum,9.22,11.99,1750,23661.0,218154.42,23702.0,284186.98,43549.61,66032.56,23.24,1.3,1893.5,12.52
12546,JIM BEAM BRANDS COMPANY    ,1278,Jim Beam Black,26.71,35.99,1750,8275.0,221025.25,7868.0,283169.32,14462.48,62144.07,21.95,1.28,2139.5,3.68
3664,WILLIAM GRANT & SONS INC   ,4218,Sailor Jerry Spiced Navy Rum,12.31,16.99,750,18993.0,233803.83,16583.0,281745.17,13062.31,47941.34,17.02,1.21,4276.0,3.88
3960,DIAGEO NORTH AMERICA INC   ,3072,Ciroc Peach Vodka,18.24,24.99,750,11614.0,211839.36,11265.0,281512.35,8874.12,69672.99,24.75,1.33,2727.5,4.13
12546,JIM BEAM BRANDS COMPANY    ,8066,DeKuyper Triple Sec,7.13,8.99,1750,31564.0,225051.32,31254.0,280973.46,57425.27,55922.14,19.9,1.25,2225.0,14.05
3664,WILLIAM GRANT & SONS INC   ,2398,Tullamore Dew,16.4,20.99,750,14238.0,233503.2,13347.0,280153.53,10514.58,46650.33,16.65,1.2,2747.5,4.86
8673,STE MICHELLE WINE ESTATES  ,35464,Stags Leap Artemis Cab Svgn,28.44,45.99,750,6878.0,195610.32,6091.0,280125.09,678.34,84514.77,30.17,1.43,2787.5,2.19
3960,DIAGEO NORTH AMERICA INC   ,2723,J & B Rare,21.42,29.99,1750,10153.0,217477.26,9306.0,279086.94,17103.1,61609.68,22.08,1.28,2222.5,4.19
3664,WILLIAM GRANT & SONS INC   ,8021,Glenfiddich Special Rsv 12,31.49,39.99,750,8081.0,254470.69,6976.0,278970.24,5497.84,24499.55,8.78,1.1,2927.5,2.38
7239,REMY COINTREAU USA INC     ,5124,Cointreau Liqueur,51.53,66.99,1750,4269.0,219981.57,4150.0,278008.5,7629.18,58026.93,20.87,1.26,2104.5,1.97
9815,WINE GROUP INC             ,6281,Franzia Sunset Blush Tap,8.96,14.99,5000,18527.0,166001.92,18500.0,277315.0,13875.0,111313.08,40.14,1.67,1884.5,9.82
1392,CONSTELLATION BRANDS INC   ,10472,Clos du Bois Pnt Nr Cal,6.07,10.99,750,27172.0,164934.04,25151.0,276409.49,2813.55,111475.45,40.33,1.68,3389.5,7.42
3960,DIAGEO NORTH AMERICA INC   ,8513,Baileys Irish Cream Mini's 4,6.56,10.99,100,25088.0,164577.28,25083.0,275662.17,2612.46,111084.89,40.3,1.67,3962.5,6.33
1128,BROWN-FORMAN CORP          ,3614,Finlandia Vodka,15.99,19.99,1750,13694.0,218967.06,13788.0,275622.12,25337.75,56655.06,20.56,1.26,1792.0,7.69
3252,E & J GALLO WINERY         ,7715,Andre Extra Dry,3.01,5.99,750,46400.0,139664.0,45565.0,272934.35,5112.9,133270.35,48.83,1.95,2590.5,17.59
4425,MARTIGNETTI COMPANIES,13661,Duckhorn Decoy Pnt Nr,11.61,21.99,750,12778.0,148352.58,12362.0,271840.38,1380.69,123487.8,45.43,1.83,3487.0,3.55
9165,ULTRA BEVERAGE COMPANY LLP ,41213,A to Z Pnt Nr Ore,12.07,19.99,750,15385.0,185696.95,13578.0,271424.22,1516.1,85727.27,31.58,1.46,2638.5,5.15
8004,SAZERAC CO INC             ,2973,Eagle Rare Single Barrel Bo,19.85,29.99,750,9090.0,180436.5,9002.0,269969.98,7091.94,89533.48,33.16,1.5,2345.0,3.84
