VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,ProfitMargin,SalesToPurchaseRatio,average_onhand,StockTurnover
4692,KOBRAND CORPORATION        ,24665,Nardi Casale 08 Bosco Brunel,19.3,27.99,750,1202.0,23198.6,1202.0,33643.98,134.07,10445.38,31.05,1.45,382.8,3.14
8892,TRINCHERO FAMILY ESTATES   ,12773,Joel Gott Znfdl,9.99,14.99,750,2442.0,24395.58,2243.0,33622.57,248.6,9226.99,27.44,1.38,823.5,2.72
2242,DELICATO VINEYARDS INC     ,44340,Irony Pnt Nr Monterey,8.84,12.99,750,2659.0,23505.56,2588.0,33618.12,287.8,10112.56,30.08,1.43,732.5,3.53
1590,DIAGEO CHATEAU ESTATE WINES,14289,Uppercut Cab Svgn,13.33,19.99,750,2207.0,29419.31,1681.0,33603.19,188.26,4183.88,12.45,1.14,670.0,2.51
4425,MARTIGNETTI COMPANIES,23345,Neyers Vyd Chard Carneros,14.28,31.99,750,1206.0,17221.68,1050.0,33589.5,116.82,16367.82,48.73,1.95,459.0,2.29
12546,JIM BEAM BRANDS COMPANY    ,1836,Tyrconnell Irish Whiskey,21.73,29.99,750,1269.0,27575.37,1120.0,33588.8,883.45,6013.43,17.9,1.22,975.5,1.15
12546,JIM BEAM BRANDS COMPANY    ,3797,Skinnygirl Sweet'Arita,12.77,16.99,1750,1906.0,24339.62,1976.0,33572.24,3631.71,9232.62,27.5,1.38,598.0,3.3
9552,M S WALKER INC             ,25703,Murphy-Goode Svgn Bl,7.58,11.99,750,2786.0,21117.88,2800.0,33572.0,310.96,12454.12,37.1,1.59,882.0,3.17
3252,E & J GALLO WINERY         ,14623,The Naked Grape Pnt Grigio,4.69,6.99,750,4860.0,22793.4,4799.0,33545.01,532.86,10751.61,32.05,1.47,1084.5,4.43
3252,E & J GALLO WINERY         ,20447,Barefoot Bubbly Pink Moscato,6.53,9.99,187,3486.0,22763.58,3351.0,33476.49,97.49,10712.91,32.0,1.47,1056.5,3.17
17035,PERNOD RICARD USA          ,18600,Perrier Jouet Belle Epoque,72.72,121.99,750,324.0,23561.28,274.0,33425.26,30.35,9863.98,29.51,1.42,717.0,0.38
9552,M S WALKER INC             ,4140,Baroca White Rum,4.75,5.99,1000,5580.0,26505.0,5579.0,33418.21,5857.95,6913.21,20.69,1.26,405.5,13.76
4425,MARTIGNETTI COMPANIES,15007,Sean Minor Carneros Pnt Nr,13.79,19.99,750,1695.0,23374.05,1669.0,33363.31,185.42,9989.26,29.94,1.43,511.0,3.27
10754,PERFECTA WINES             ,24928,Rive Droite Rive Gauche CDR,6.16,8.99,750,3715.0,22884.4,3711.0,33361.89,414.15,10477.49,31.41,1.46,40.0,92.78
4425,MARTIGNETTI COMPANIES,25857,Cline Merlot Sonoma Coast,12.41,17.99,750,2636.0,32712.76,1854.0,33353.46,207.46,640.7,1.92,1.02,782.0,2.37
3252,E & J GALLO WINERY         ,31500,Barefoot Wh Znfdl Cal,3.22,6.29,750,5521.0,17777.62,5302.0,33349.58,590.18,15571.96,46.69,1.88,1215.5,4.36
3252,E & J GALLO WINERY         ,33148,Alamos Ridge Chard Mendoza,4.54,9.99,750,3668.0,16652.72,3334.0,33306.66,371.76,16653.94,50.0,2.0,1375.0,2.42
9165,ULTRA BEVERAGE COMPANY LLP ,2235,Deanston SM Virgin Oak,19.56,29.99,750,1094.0,21398.64,1110.0,33288.9,875.56,11890.26,35.72,1.56,1648.0,0.67
3252,E & J GALLO WINERY         ,29942,Livingston Merlot Cal,8.49,12.99,3000,2540.0,21564.6,2559.0,33241.41,1151.55,11676.81,35.13,1.54,1290.5,1.98
9165,ULTRA BEVERAGE COMPANY LLP ,3289,Crystal Head Aurora Vodka,46.5,59.99,750,633.0,29434.5,554.0,33234.46,436.64,3799.96,11.43,1.13,169.0,3.28
9165,ULTRA BEVERAGE COMPANY LLP ,4018,Papa's Pilar Dark Rum,26.46,39.99,750,978.0,25877.88,831.0,33231.69,655.43,7353.81,22.13,1.28,1202.5,0.69
1392,CONSTELLATION BRANDS INC   ,25519,R.Mondavi PS Bourbon Barrel,9.58,13.99,750,2376.0,22762.08,2375.0,33226.25,265.9,10464.17,31.49,1.46,109.0,21.79
12546,JIM BEAM BRANDS COMPANY    ,2464,Pinnacle Gin,11.1,18.99,1750,2251.0,24986.1,1748.0,33194.52,3213.3,8208.42,24.73,1.33,809.0,2.16
6785,PALM BAY INTERNATIONAL INC ,6390,Chamucos Blanco Tequila,31.74,39.99,750,1097.0,34818.78,830.0,33191.7,654.8,-1627.08,-4.9,0.95,861.0,0.96
3252,E & J GALLO WINERY         ,10298,Alamos Torrontes,4.51,9.99,750,3257.0,14689.07,3321.0,33176.79,369.67,18487.72,55.72,2.26,1005.0,3.3
9819,TREASURY WINE ESTATES      ,31119,Beringer Chard Private RSV,26.66,44.99,750,825.0,21994.5,737.0,33157.63,81.92,11163.13,33.67,1.51,617.0,1.19
17035,PERNOD RICARD USA          ,7111,Jameson's Cooper Croze Irish,48.86,64.99,750,676.0,33029.36,510.0,33144.9,402.33,115.54,0.35,1.0,760.0,0.67
9165,ULTRA BEVERAGE COMPANY LLP ,19001,Emblem Cab Svgn,18.18,27.99,750,1381.0,25106.58,1184.0,33140.16,131.79,8033.58,24.24,1.32,385.5,3.07
1392,CONSTELLATION BRANDS INC   ,26462,Ravenswood Znfdl Sonoma,10.8,18.99,750,1895.0,20466.0,1744.0,33118.56,193.18,12652.56,38.2,1.62,1187.5,1.47
3252,E & J GALLO WINERY         ,23271,Darkhorse Merlot,5.36,7.99,750,4340.0,23262.4,4140.0,33078.6,460.3,9816.2,29.68,1.42,650.0,6.37
3252,E & J GALLO WINERY         ,13492,Barefoot Cellars Pnt Nr,5.84,10.99,1500,3285.0,19184.4,3009.0,33068.91,671.77,13884.51,41.99,1.72,454.0,6.63
6830,PARK STREET IMPORTS LLC    ,2579,Stillhouse Apple Crisp Moons,16.9,22.99,750,1914.0,32346.6,1438.0,33059.62,1133.21,713.02,2.16,1.02,800.0,1.8
3252,E & J GALLO WINERY         ,39411,Mirassou Chard Cntrl Coast,5.84,8.99,750,3667.0,21415.28,3676.0,33047.24,409.32,11631.96,35.2,1.54,1121.5,3.28
10754,PERFECTA WINES             ,16351,Girls in the Vineyard Cab S,12.83,18.99,750,1873.0,24030.59,1738.0,33004.62,192.85,8974.03,27.19,1.37,565.5,3.07
9165,ULTRA BEVERAGE COMPANY LLP ,24378,Napa Highlands Meritage,6.84,9.99,750,3298.0,22558.32,3298.0,32947.02,370.33,10388.7,31.53,1.46,1050.32,3.14
1273,CALEDONIA SPIRITS INC      ,2192,Caledonia Barr Hill Gin VAP,37.31,49.99,375,1028.0,38354.68,658.0,32893.42,257.65,-5461.26,-16.6,0.86,1000.0,0.66
9165,ULTRA BEVERAGE COMPANY LLP ,6116,Sogno di Sorrento Lemoncell,18.65,24.99,750,1442.0,26893.3,1311.0,32761.89,1033.77,5868.59,17.91,1.22,1293.5,1.01
9552,M S WALKER INC             ,31172,Luna di Luna Chard/Pnt Grig,11.72,19.99,1500,1602.0,18775.44,1635.0,32683.65,364.17,13908.21,42.55,1.74,1259.5,1.3
8352,LUXCO INC                  ,8535,Arrow Peppermint Schnapps,3.7,4.99,375,6549.0,24231.3,6540.0,32634.6,2566.36,8403.3,25.75,1.35,63.0,103.81
1485,CASTLE BRANDS CORP.        ,4276,Goslings Gold Seal Rum,23.84,30.99,1750,1409.0,33590.56,1053.0,32632.47,1936.05,-958.09,-2.94,0.97,770.0,1.37
10754,PERFECTA WINES             ,38483,Sharpe Hill Ballet of Angel,7.23,10.99,750,2895.0,20930.85,2967.0,32607.33,330.22,11676.48,35.81,1.56,1036.0,2.86
9165,ULTRA BEVERAGE COMPANY LLP ,43131,Carpano Antica Formula,8.72,14.99,375,2205.0,19227.6,2175.0,32603.25,125.61,13375.65,41.03,1.7,598.0,3.64
10754,PERFECTA WINES             ,15194,Billecart-Salmon Brut Rose,51.69,77.99,750,494.0,25534.86,418.0,32599.82,46.4,7064.96,21.67,1.28,241.0,1.73
4425,MARTIGNETTI COMPANIES,25508,Sbragia Zin Ginos Vyd- Dry C,12.24,17.99,750,3422.0,41885.28,1812.0,32597.88,202.41,-9287.4,-28.49,0.78,1628.0,1.11
5992,MCCORMICK DISTILLING CO    ,3880,360 Double Chocolate Vodka,11.76,15.99,750,2777.0,32657.52,2038.0,32587.62,1605.22,-69.9,-0.21,1.0,955.0,2.13
9165,ULTRA BEVERAGE COMPANY LLP ,11821,Slingshot Cab Svgn,10.66,16.99,750,1974.0,21042.84,1918.0,32586.82,212.77,11543.98,35.43,1.55,611.0,3.14
9815,WINE GROUP INC             ,36750,Big House Cardinal Bst Znfdl,4.79,7.99,750,4115.0,19710.85,4072.0,32535.28,451.75,12824.43,39.42,1.65,902.5,4.51
4425,MARTIGNETTI COMPANIES ,2232,Sipsmith Gin,31.0,39.99,750,830.0,25730.0,813.0,32511.87,641.16,6781.87,20.86,1.26,1125.5,0.72
8664,"STOLI GROUP,(USA) LLC      ",749,Stolichnaya Hot Vodka,15.14,19.99,750,2524.0,38213.36,1625.0,32483.75,1279.43,-5729.61,-17.64,0.85,503.5,3.23
6785,PALM BAY INTERNATIONAL INC ,19223,Trimbach Pnt Bl,9.2,13.99,750,2413.0,22199.6,2319.0,32442.81,257.26,10243.21,31.57,1.46,692.0,3.35
9744,FREDERICK WILDMAN & SONS   ,2609,Pigs Nose Scotch,18.11,25.99,750,1283.0,23235.13,1248.0,32435.52,984.46,9200.39,28.37,1.4,1067.5,1.17
7245,PROXIMO SPIRITS INC.       ,3829,Three Olives Peach Vodka,11.1,14.99,750,2245.0,24919.5,2162.0,32408.38,1704.05,7488.88,23.11,1.3,245.0,8.82
12546,JIM BEAM BRANDS COMPANY    ,5125,DeKuyper Anisette,5.96,7.99,750,4229.0,25204.84,4054.0,32391.46,3193.46,7186.62,22.19,1.29,872.5,4.65
11567,CAMPARI AMERICA            ,5130,X Rated Fusion Liqueur,13.17,19.99,750,1598.0,21045.66,1619.0,32363.81,1276.4,11318.15,34.97,1.54,1516.5,1.07
10754,PERFECTA WINES             ,46600,Primaterra Pnt Grigio,7.58,10.99,750,2967.0,22489.86,2942.0,32332.58,328.08,9842.72,30.44,1.44,582.5,5.05
4425,MARTIGNETTI COMPANIES,33370,Whitehall Lane Cab Svgn Napa,23.02,36.99,750,802.0,18462.04,874.0,32329.26,96.78,13867.22,42.89,1.75,780.0,1.12
4425,MARTIGNETTI COMPANIES,8149,Sebastiani Cab Svgn Sonoma,11.25,17.99,750,1775.0,19968.75,1797.0,32328.03,199.3,12359.28,38.23,1.62,1152.0,1.56
480,BACARDI USA INC            ,3460,Corzo Anejo Tequila,41.04,58.99,750,612.0,25116.48,548.0,32326.52,432.45,7210.04,22.3,1.29,580.0,0.94
9552,M S WALKER INC             ,15743,Bodegas Izadi Tempranillo Rd,10.38,17.99,750,1838.0,19078.44,1792.0,32238.08,199.22,13159.64,40.82,1.69,487.0,3.68
5455,MARSALLE COMPANY           ,2808,Uisce Beatha Irish Whisky,23.61,34.99,750,981.0,23161.41,921.0,32225.79,726.23,9064.38,28.13,1.39,1119.0,0.82
3960,DIAGEO NORTH AMERICA INC   ,2568,Lagavulin 8Yr 200th Ltd Edtn,46.76,64.99,750,920.0,43019.2,495.0,32170.05,390.06,-10849.15,-33.72,0.75,461.0,1.07
7239,REMY COINTREAU USA INC     ,1893,Port Charlotte Scotch Barley,43.99,54.99,750,593.0,26086.07,585.0,32169.15,461.53,6083.08,18.91,1.23,1210.0,0.48
7245,PROXIMO SPIRITS INC.       ,3662,Three Olives Blueberry Vodka,8.75,14.99,750,1418.0,12407.5,2145.0,32153.55,1690.28,19746.05,61.41,2.59,683.5,3.14
12546,JIM BEAM BRANDS COMPANY    ,2839,Ardmore Legacy Single Malt,27.0,39.99,750,872.0,23544.0,804.0,32151.96,634.44,8607.96,26.77,1.37,1211.0,0.66
5455,MARSALLE COMPANY           ,3528,Don Felix Anejo Tequila,31.24,39.99,750,739.0,23086.36,804.0,32151.96,634.25,9065.6,28.2,1.39,1795.5,0.45
8892,TRINCHERO FAMILY ESTATES   ,13097,Menage a Trois Chard,5.99,9.99,750,3562.0,21336.38,3218.0,32147.82,357.32,10811.44,33.63,1.51,948.0,3.39
8892,TRINCHERO FAMILY ESTATES   ,17041,Sutter Home Pink Moscato,5.26,9.99,1500,3174.0,16695.24,3218.0,32147.82,719.02,15452.58,48.07,1.93,778.0,4.14
12546,JIM BEAM BRANDS COMPANY    ,1005,Maker's Mark Combo Pack,27.34,34.99,375,247.0,6752.98,918.0,32120.82,359.97,25367.84,78.98,4.76,1507.0,0.61
10754,PERFECTA WINES             ,10735,Ch Beauchene Rose,9.39,13.99,750,2271.0,21324.69,2292.0,32065.08,255.06,10740.39,33.5,1.5,228.5,10.03
17035,PERNOD RICARD USA          ,3620,Powers Signature Release,31.99,39.99,750,850.0,27191.5,801.0,32031.99,631.94,4840.49,15.11,1.18,1167.5,0.69
516,BANFI PRODUCTS CORP        ,41827,Banfi Chianti Clsc Tuscany,8.16,12.99,750,2556.0,20856.96,2465.0,32020.35,273.93,11163.39,34.86,1.54,935.5,2.63
1392,CONSTELLATION BRANDS INC   ,27259,Cooper & Thief Cellarmasters,20.26,29.99,750,1516.0,30714.16,1066.0,31969.34,118.5,1255.18,3.93,1.04,738.0,1.44
6785,PALM BAY INTERNATIONAL INC ,24778,Rocca Delle Macie Chianti C,14.66,22.99,1500,1356.0,19878.96,1390.0,31956.1,309.61,12077.14,37.79,1.61,1133.0,1.23
3924,HEAVEN HILL DISTILLERIES   ,3592,Burnetts Pineapple Vodka,7.14,11.99,1750,2303.0,16443.42,2665.0,31953.35,4897.7,15509.93,48.54,1.94,1084.0,2.46
1587,VINEYARD BRANDS INC        ,22289,Pichot Dom Moriette Vouvray,8.84,12.99,750,2563.0,22656.92,2459.0,31942.41,273.53,9285.49,29.07,1.41,695.0,3.54
7153,PINE STATE TRADING CO      ,6267,Kinky Gold Liqueur,12.3,15.99,750,1834.0,22558.2,1997.0,31932.03,1575.25,9373.83,29.36,1.42,1706.5,1.17
4425,MARTIGNETTI COMPANIES,20693,Daou Cab Svgn,13.24,32.99,750,152.0,2012.48,965.0,31835.35,108.18,29822.87,93.68,15.82,813.0,1.19
3252,E & J GALLO WINERY         ,10927,Barefoot Sparklng Pnt Grigio,6.57,9.99,750,3290.0,21615.3,3186.0,31828.14,353.82,10212.84,32.09,1.47,984.0,3.24
480,BACARDI USA INC            ,8534,M & R Asti,4.02,5.99,375,5294.0,21281.88,5313.0,31824.87,302.73,10542.99,33.13,1.5,1376.5,3.86
4425,MARTIGNETTI COMPANIES,42053,Paraduxx Red Duckhorn Napa,22.6,32.99,750,1036.0,23413.6,964.0,31802.36,107.1,8388.76,26.38,1.36,435.0,2.22
480,BACARDI USA INC            ,7990,Noilly Prat Sweet Vermouth,7.68,9.99,1000,3211.0,24660.48,3178.0,31748.22,3336.9,7087.74,22.32,1.29,1159.5,2.74
6785,PALM BAY INTERNATIONAL INC ,26827,Cavit Merlot Trentino,6.89,9.99,1500,3136.0,21607.04,3177.0,31738.23,709.25,10131.19,31.92,1.47,1686.5,1.88
12546,JIM BEAM BRANDS COMPANY    ,1832,Laphroaig Lore,94.15,128.99,750,345.0,32481.75,246.0,31731.54,194.06,-750.21,-2.36,0.98,459.0,0.54
12546,JIM BEAM BRANDS COMPANY    ,8170,Courvoisier VS Cognac,2.17,2.99,50,12533.0,27196.61,10606.0,31711.94,544.37,4515.33,14.24,1.17,4409.5,2.41
9552,M S WALKER INC             ,27361,Borsao Campo de Borja Red,5.99,8.99,750,3520.0,21084.8,3527.0,31707.73,391.91,10622.93,33.5,1.5,1143.5,3.08
3252,E & J GALLO WINERY         ,28888,Livingston Clrs Wh Znfdl Cal,8.1,11.99,3000,2631.0,21311.1,2644.0,31701.56,1189.8,10390.46,32.78,1.49,987.5,2.68
7153,PINE STATE TRADING CO      ,2382,Ophir London Dry Gin,19.22,29.99,750,615.0,11820.3,1057.0,31699.43,832.58,19879.13,62.71,2.68,668.0,1.58
3252,E & J GALLO WINERY         ,22039,Ghost Pines Pnt Nr L Martini,10.52,17.99,750,2290.0,24090.8,1761.0,31680.39,196.02,7589.59,23.96,1.32,691.0,2.55
4425,MARTIGNETTI COMPANIES,17330,Sean Minor 4B Pinot Noir,8.96,16.99,750,2062.0,18475.52,1862.0,31635.38,206.8,13159.86,41.6,1.71,396.0,4.7
9552,M S WALKER INC             ,44107,Carmel Road Pnt Nr Monterey,10.52,15.99,750,2077.0,21850.04,1978.0,31628.22,219.85,9778.18,30.92,1.45,589.5,3.36
9165,ULTRA BEVERAGE COMPANY LLP ,14631,Dom Serene Yamhill Cv Pnt Nr,23.83,37.99,750,969.0,23091.27,832.0,31607.68,92.21,8516.41,26.94,1.37,553.5,1.5
1189,BULLY BOY DISTILLERS       ,3342,Bully Boy Old Fashioned RTD,21.53,27.99,750,1564.0,33672.92,1127.0,31544.73,888.48,-2128.19,-6.75,0.94,1391.0,0.81
9165,ULTRA BEVERAGE COMPANY LLP ,90631,Luxardo Maraschino Cherries,12.74,18.99,400,1938.0,24690.12,1659.0,31504.41,99.54,6814.29,21.63,1.28,495.0,3.35
7153,PINE STATE TRADING CO      ,34137,Fat Bastard Chard,6.84,10.99,750,2814.0,19247.76,2865.0,31486.35,318.84,12238.59,38.87,1.64,1344.5,2.13
17031,FLAG HILL WINERY & VINEYARD,21752,Flag Hill Cayuga White,7.58,12.99,750,2486.0,18843.88,2422.0,31461.78,269.0,12617.9,40.11,1.67,679.0,3.57
6785,PALM BAY INTERNATIONAL INC ,8464,Ch de Montfort Vouvray,10.66,15.99,750,2069.0,22055.54,1967.0,31452.33,217.99,9396.79,29.88,1.43,1158.0,1.7
516,BANFI PRODUCTS CORP        ,6429,C Y Toro Frontera Svgn Bl,5.8,8.99,1500,4048.0,23478.4,3496.0,31429.04,780.44,7950.64,25.3,1.34,1882.0,1.86
9552,M S WALKER INC             ,26672,Tridente Tempranillo Castila,12.24,17.99,750,2047.0,25055.28,1747.0,31428.53,195.52,6373.25,20.28,1.25,300.0,5.82
4425,MARTIGNETTI COMPANIES,37785,Lindemans Bin 40 Merlot,8.21,11.99,1500,2731.0,22421.51,2617.0,31377.83,585.09,8956.32,28.54,1.4,1227.0,2.13
1590,DIAGEO CHATEAU ESTATE WINES,18568,A by Acacia Unoaked Chard Ca,6.89,9.99,750,3139.0,21627.71,3139.0,31358.61,349.56,9730.9,31.03,1.45,756.0,4.15
7153,PINE STATE TRADING CO      ,3204,Twenty 2 Vodka,15.71,21.99,750,1551.0,24366.21,1426.0,31357.74,1123.53,6991.53,22.3,1.29,1421.5,1.0
11567,CAMPARI AMERICA            ,8677,Wild Turkey Rare Breed,27.47,38.99,750,830.0,22800.1,804.0,31347.96,634.08,8547.86,27.27,1.37,997.0,0.81
3252,E & J GALLO WINERY         ,7358,Viniq Ruby Shimmery Liqueur,14.17,19.99,750,1399.0,19823.83,1568.0,31344.32,1237.23,11520.49,36.75,1.58,1786.5,0.88
10754,PERFECTA WINES             ,15193,Billecart-Salmon Brut Rsv,30.96,49.99,750,677.0,20959.92,627.0,31343.73,69.81,10383.81,33.13,1.5,247.0,2.54
8892,TRINCHERO FAMILY ESTATES   ,13958,Charles & Charles Red,7.18,11.99,750,2570.0,18452.6,2611.0,31305.89,290.55,12853.29,41.06,1.7,574.5,4.54
1128,BROWN-FORMAN CORP          ,2079,Jack Daniels Sngl Barrel Rye,39.99,49.99,750,903.0,36110.97,626.0,31293.74,493.8,-4817.23,-15.39,0.87,835.0,0.75
3252,E & J GALLO WINERY         ,44148,Polka Dot Rsl Pfalz,4.66,6.99,750,4054.0,18891.64,4475.0,31280.25,498.0,12388.61,39.61,1.66,934.5,4.79
17035,PERNOD RICARD USA          ,18592,Deadbolt Red,5.4,12.99,750,2234.0,12063.6,2405.0,31240.95,267.47,19177.35,61.39,2.59,939.5,2.56
4425,MARTIGNETTI COMPANIES,6946,Rosemount Diamond Cab Svgn,4.79,6.99,750,4432.0,21229.28,4468.0,31231.32,497.57,10002.04,32.03,1.47,1664.0,2.69
4425,MARTIGNETTI COMPANIES,14250,Ruta 22 Malbec,6.62,11.99,750,2506.0,16589.72,2604.0,31221.96,290.09,14632.24,46.87,1.88,642.0,4.06
7153,PINE STATE TRADING CO      ,20725,Chronic Cellars Purple Parad,9.86,17.99,750,2238.0,22066.68,1735.0,31212.65,191.88,9145.97,29.3,1.41,867.5,2.0
9552,M S WALKER INC             ,31618,Chartron La Fleur Brdx Whit,6.57,9.99,750,3276.0,21523.32,3123.0,31198.77,347.3,9675.45,31.01,1.45,753.5,4.14
8892,TRINCHERO FAMILY ESTATES   ,8444,Tres Agaves Blanco Tequila,17.38,23.99,750,1322.0,22976.36,1297.0,31115.03,1023.05,8138.67,26.16,1.35,1321.5,0.98
9552,M S WALKER INC             ,20255,Breca OV Garnacha Calatayud,9.65,13.99,750,1995.0,19251.75,2224.0,31113.76,247.02,11862.01,38.12,1.62,960.5,2.32
1392,CONSTELLATION BRANDS INC   ,27514,Clos du Bois RSV Cab Svgn,10.96,16.99,750,1964.0,21525.44,1831.0,31108.69,202.75,9583.25,30.81,1.45,955.5,1.92
10754,PERFECTA WINES             ,17016,Picpoul d Pinet HB Languedoc,7.58,10.99,750,2959.0,22429.22,2830.0,31101.7,315.47,8672.48,27.88,1.39,891.5,3.17
4425,MARTIGNETTI COMPANIES,13614,Acrobat Pnt Nr Ore,11.68,17.99,750,2779.0,32458.72,1728.0,31086.72,192.21,-1372.0,-4.41,0.96,1065.5,1.62
5992,MCCORMICK DISTILLING CO    ,3439,Broker's London Dry Gin,13.48,16.99,750,1866.0,25153.68,1829.0,31074.71,1441.6,5921.03,19.05,1.24,473.5,3.86
4425,MARTIGNETTI COMPANIES,46762,Clayhouse Cab Svgn Paso Rbls,7.99,12.99,750,1864.0,14893.36,2392.0,31072.08,266.2,16178.72,52.07,2.09,1251.0,1.91
3664,WILLIAM GRANT & SONS INC   ,283,Milagro Tequila Reposado SBR,39.69,61.99,750,478.0,18971.82,501.0,31056.99,395.18,12085.17,38.91,1.64,901.5,0.56
12546,JIM BEAM BRANDS COMPANY    ,3941,Tres Generaciones Reposado,29.36,36.99,750,878.0,25778.08,839.0,31034.61,661.99,5256.53,16.94,1.2,1067.5,0.79
90032,LABELLE VYDS AND WINERY    ,14383,LaBelle Winery Granite Red,10.32,15.99,750,2004.0,20681.28,1940.0,31020.6,214.64,10339.32,33.33,1.5,1318.0,1.47
9552,M S WALKER INC             ,8237,Grand Mayan Ultra Aged Teq,74.62,99.99,750,288.0,21490.56,310.0,30996.9,244.68,9506.34,30.67,1.44,591.0,0.52
9165,ULTRA BEVERAGE COMPANY LLP ,2715,Teeling Single Grain Whiskey,39.99,49.99,750,879.0,35151.21,620.0,30993.8,489.0,-4157.41,-13.41,0.88,1119.5,0.55
9165,ULTRA BEVERAGE COMPANY LLP ,7992,Patron Anejo Tequila,5.55,6.99,50,4999.0,27744.45,4431.0,30972.69,225.87,3228.24,10.42,1.12,1810.0,2.45
4425,MARTIGNETTI COMPANIES,33579,Tommasi Valpo Clsc Supr Rafl,10.52,15.99,750,1950.0,20514.0,1936.0,30956.64,214.64,10442.64,33.73,1.51,834.0,2.32
480,BACARDI USA INC            ,40114,M & R Prosecco Frizzante,6.66,13.99,750,2191.0,14592.06,2210.0,30917.9,245.77,16325.84,52.8,2.12,892.5,2.48
480,BACARDI USA INC            ,5194,Bacardi Party Mai Tai,9.62,12.99,1750,2365.0,22751.3,2380.0,30916.2,4374.6,8164.9,26.41,1.36,673.5,3.53
8892,TRINCHERO FAMILY ESTATES   ,31971,Trinchero Main St Cab Svgn,5.99,8.99,750,3515.0,21054.85,3435.0,30880.65,381.81,9825.8,31.82,1.47,1031.0,3.33
17035,PERNOD RICARD USA          ,23270,Campo Viejo Gr Cava Brut Rsv,6.7,9.99,750,3311.0,22183.7,3091.0,30879.09,343.8,8695.39,28.16,1.39,502.0,6.16
2000,SOUTHERN WINE & SPIRITS NE ,2167,Old Beezer 10 Yr SB Bourbon,25.55,34.49,750,1833.0,46833.15,895.0,30868.55,706.43,-15964.6,-51.72,0.66,1442.0,0.62
660,SAZERAC NORTH AMERICA INC. ,4358,Mr Boston Light Rum,4.26,5.49,750,4637.0,19753.62,5613.0,30815.37,4422.81,11061.75,35.9,1.56,767.0,7.32
8112,MOET HENNESSY USA INC      ,32294,Dom Chandon Brut,2.97,4.49,187,6883.0,20442.51,6862.0,30810.38,194.02,10367.87,33.65,1.51,455.5,15.06
10754,PERFECTA WINES             ,16656,Dom Bousquet Malbec Mendoza,7.58,10.99,750,2951.0,22368.58,2802.0,30793.98,311.86,8425.4,27.36,1.38,498.5,5.62
9744,FREDERICK WILDMAN & SONS   ,23307,Ch St Sulpice,6.62,9.99,750,3047.0,20171.14,3081.0,30779.19,341.71,10608.05,34.47,1.53,1138.0,2.71
9552,M S WALKER INC             ,23973,Catena RSV Cab Svgn,10.38,15.99,750,1960.0,20344.8,1924.0,30764.76,213.89,10419.96,33.87,1.51,853.0,2.26
6213,MHW LTD                    ,3279,Double Cross Vodka,22.21,29.99,750,1210.0,26874.1,1025.0,30739.75,808.15,3865.65,12.58,1.14,1085.5,0.94
1590,DIAGEO CHATEAU ESTATE WINES,44233,A by Acacia Chard Cal,6.84,9.99,750,3138.0,21463.92,3077.0,30739.23,342.1,9275.31,30.17,1.43,823.5,3.74
9552,M S WALKER INC             ,29619,Schmitt Sohne Auslese,9.52,13.99,750,2235.0,21277.2,2196.0,30722.04,243.44,9444.84,30.74,1.44,974.5,2.25
9165,ULTRA BEVERAGE COMPANY LLP ,5468,Hine Rare VSOP,45.11,59.99,750,540.0,24359.4,512.0,30714.88,403.91,6355.48,20.69,1.26,1138.0,0.45
653,STATE WINE & SPIRITS   ,23255,Balletto Vyds Pnt Gris,7.94,11.99,750,1617.0,12838.98,2560.0,30694.4,284.53,17855.42,58.17,2.39,791.5,3.23
1392,CONSTELLATION BRANDS INC   ,15321,Blufeld Rsl,5.99,8.99,750,3465.0,20755.35,3412.0,30673.88,379.26,9918.53,32.34,1.48,1033.5,3.3
3252,E & J GALLO WINERY         ,16805,Las Rocas Spanish Red,5.33,7.99,750,3844.0,20488.52,3839.0,30673.61,430.08,10185.09,33.2,1.5,59.0,65.07
9165,ULTRA BEVERAGE COMPANY LLP ,3394,Blue Nectar Silver Tequila,28.98,39.99,750,1057.0,30631.86,767.0,30672.33,605.18,40.47,0.13,1.0,758.0,1.01
1485,CASTLE BRANDS CORP.        ,3134,Jefferson's Ocean Aged Cask,73.52,99.99,750,338.0,24849.76,306.0,30596.94,241.39,5747.18,18.78,1.23,194.0,1.58
4425,MARTIGNETTI COMPANIES,38528,Seghesio Old Vine Znfdl,25.48,38.99,750,783.0,19950.84,784.0,30568.16,86.86,10617.32,34.73,1.53,726.5,1.08
9552,M S WALKER INC             ,24489,Hunt & Harvest Cab Svgn,12.49,21.99,750,1606.0,20058.94,1390.0,30566.1,154.43,10507.16,34.38,1.52,456.0,3.05
17031,FLAG HILL WINERY & VINEYARD,37121,Flag Hill Apple Cran NH,8.72,12.99,750,2333.0,20343.76,2352.0,30552.48,260.47,10208.72,33.41,1.5,1102.5,2.13
1392,CONSTELLATION BRANDS INC   ,46568,R M Woodbridge Cab/Merlot,6.03,8.99,1500,3465.0,20893.95,3397.0,30539.03,759.33,9645.08,31.58,1.46,692.0,4.91
